,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CYP2C18,0.0,0.0,0.503,0.0,0.243,0.318,0.307,0.39,0.0,0.0,0.0,0.501,0.0,0.0,0.0,0.299
LEPREL1,0.0,0.0,0.496,0.275,0.0,0.414,0.322,0.428,0.339,0.0,0.0,0.144,0.244,0.0,0.0,0.16
CH25H,0.0,0.391,0.0,0.0,0.0,0.0,0.0,0.528,0.438,0.401,0.187,0.0,0.425,0.0,0.0,0.0
CXCL13,0.192,0.0,0.0,0.426,0.435,0.184,0.0,0.174,0.348,0.0,0.0,0.0,0.0,0.398,0.499,0.0
WNT5A,0.333,0.0,0.0,0.0,0.0,0.238,0.474,0.0,0.331,0.0,0.0,0.554,0.321,0.0,0.0,0.297
CCNA1,0.378,0.0,0.0,0.251,0.0,0.372,0.0,0.0,0.414,0.0,0.0,0.43,0.548,0.0,0.0,0.0
CA9,0.0,0.0,0.289,0.458,0.0,0.492,0.354,0.0,0.0,0.0,0.474,0.0,0.0,0.0,0.0,0.338
RBP1,0.0,0.0,0.429,0.482,0.398,0.0,0.0,0.0,0.391,0.151,0.345,0.135,0.335,0.0,0.0,0.0
IL6,0.185,0.44,0.0,0.386,0.0,0.103,0.0,0.327,0.406,0.0,0.0,0.0,0.346,0.0,0.47,0.0
UBD,0.186,0.0,0.0,0.356,0.333,0.0,0.0,0.17,0.168,0.0,0.0,0.0,0.663,0.377,0.297,0.0
HEY1,0.295,0.277,0.0,0.0,0.0,0.329,0.465,0.091,0.391,0.0,0.392,0.325,0.303,0.0,0.0,0.0
INDO,0.0,0.0,0.0,0.405,0.41,0.0,0.338,0.269,0.241,0.0,0.0,0.0,0.0,0.396,0.516,0.0
AADAC,0.0,0.0,0.406,0.0,0.21,0.0,0.246,0.135,0.192,0.0,0.0,0.382,0.352,0.637,0.0,0.0
TMPRSS4,0.0,0.0,0.0,0.0,0.0,0.141,0.525,0.378,0.0,0.24,0.0,0.56,0.0,0.0,0.0,0.436
